hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_chain_strength_fraction,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
chimera,16,mdkp,20,projected_up_support,20,mean,20,1.0,0.0,0.12310000000000001,0.14755602054083056,0.0,0.4483699972432533,0.0,0.72726,1.0
chimera,16,mdkp,20,projected_up_support,20,std,20,1.0,0.0,0.049839642855863245,0.04424146540285877,0.0,0.027735419279219926,0.0,0.028671643657104843,0.0
chimera,16,mdkp,20,unbalanced,20,mean,20,1.0,0.0,0.13774999999999998,0.1249373312874609,0.0,0.435457274569879,0.0,0.762465,1.0
chimera,16,mdkp,20,unbalanced,20,std,20,1.0,0.0,0.05773895998370598,0.04912034468899316,0.0,0.027178440259472438,0.0,0.02392438661700651,0.0
chimera,16,mis,8,projected_full,8,mean,20,1.0,12.121600000000003,0.2933,0.0,0.04735000000000001,0.2690203031388706,0.04735000000000001,0.203225,0.8267499999999999
chimera,16,mis,8,projected_full,8,std,20,1.0,4.342408253492525,0.06880922903215819,0.0,0.016962532240205174,0.02857115895534272,0.016962532240205174,0.038817775406377944,0.06856593541985699
chimera,16,mis,8,projected_topology,8,mean,20,1.0,14.899199999999999,0.3317,0.0,0.058199999999999995,0.25687778382767157,0.058199999999999995,0.0,0.0
chimera,16,mis,8,projected_topology,8,std,20,1.0,4.559819224486866,0.07026243662156899,0.0,0.01781179384565182,0.02956393017531088,0.01781179384565182,0.0,0.0
chimera,16,mis,8,projected_up_support,8,mean,20,1.0,16.3328,0.32289999999999996,0.0,0.0638,0.24599491210876256,0.0638,0.0026625,0.0213
chimera,16,mis,8,projected_up_support,8,std,20,1.0,4.418948580827797,0.07093229165901803,0.0,0.01726151789385858,0.026180837207611933,0.01726151789385858,0.005576751406508989,0.044614011252071914
chimera,16,mis,8,unbalanced,8,mean,20,1.0,12.608,0.28690000000000004,0.0,0.04925,0.26356588642834067,0.04925,0.0054624999999999995,0.043699999999999996
chimera,16,mis,8,unbalanced,8,std,20,1.0,3.6768543076929223,0.06630000000000001,0.0,0.014362712139425478,0.03003761761004921,0.014362712139425478,0.011018528429422868,0.08814822743538295
chimera,16,mis,12,projected_full,12,mean,20,1.0,42.598400000000005,0.16175,0.0,0.010400000000000001,0.28683363929316885,0.010400000000000001,0.11640833333333331,0.74935
chimera,16,mis,12,projected_full,12,std,20,1.0,17.154368791651883,0.048102884528892866,0.0,0.004188078318274386,0.02256787895744725,0.004188078318274386,0.03906294688633263,0.12344807612919693
chimera,16,mis,12,projected_topology,12,mean,20,1.0,53.24800000000001,0.1895,0.0,0.013000000000000003,0.2840569011677593,0.013000000000000003,0.0,0.0
chimera,16,mis,12,projected_topology,12,std,20,1.0,33.47712694960546,0.06008369163092429,0.0,0.008173126696681021,0.03223115379611041,0.008173126696681021,0.0,0.0
chimera,16,mis,12,projected_up_support,12,mean,20,1.0,53.862400000000015,0.181,0.0,0.013150000000000004,0.27409109685356303,0.013150000000000004,0.003208333333333333,0.037599999999999995
chimera,16,mis,12,projected_up_support,12,std,20,1.0,31.78757267612612,0.059527304659290604,0.0,0.007760637860382354,0.026851485852847044,0.007760637860382354,0.00321902978827127,0.03733282737752393
chimera,16,mis,12,unbalanced,12,mean,20,1.0,37.06880000000001,0.15604999999999997,0.0,0.009050000000000002,0.2964127737829402,0.009050000000000002,0.011425,0.12935000000000002
chimera,16,mis,12,unbalanced,12,std,20,1.0,23.36785051646813,0.05017516816115319,0.0,0.005705041629997102,0.02948523854182092,0.005705041629997102,0.009510699384260747,0.10621123998899554
chimera,16,mis,16,projected_full,16,mean,20,1.0,262.144,0.08895,0.005,0.004,0.2891888407103021,0.004,0.054621875,0.5649999999999998
chimera,16,mis,16,projected_full,16,std,20,1.0,187.6665442405758,0.025158447885352545,0.02179449471770337,0.0028635642126552704,0.025666092536135887,0.0028635642126552704,0.022502616818314152,0.1434649783048114
chimera,16,mis,16,projected_topology,16,mean,20,1.0,311.296,0.13255,0.005555555555555555,0.00475,0.3043010976903527,0.00475,0.0,0.0
chimera,16,mis,16,projected_topology,16,std,20,1.0,281.7857481931973,0.032416778063219055,0.02421610524189263,0.004299709292498738,0.04498469054947142,0.004299709292498738,0.0,0.0
chimera,16,mis,16,projected_up_support,16,mean,20,1.0,488.24320000000006,0.11249999999999998,0.0,0.007450000000000001,0.26329393497151277,0.007450000000000001,0.0032,0.04995000000000001
chimera,16,mis,16,projected_up_support,16,std,20,1.0,277.63992066156476,0.028097152880674582,0.0,0.004236448984704052,0.025730341988415093,0.004236448984704052,0.0013113983471851717,0.02033340846980653
