hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
zephyr,16,mdkp,5,unbalanced,5,std,20,0.8703338210135234,0.11053609139100225,0.0,0.027197931906672607,0.05469867107508297,0.027197931906672607,0.018415088921859706,0.053987475399392415
zephyr,16,mdkp,10,projected_topology_unb_pen,10,mean,20,3.1744000000000003,0.17695,0.0,0.0031000000000000003,0.3742909374989042,0.0031000000000000003,0.0,0.0
zephyr,16,mdkp,10,projected_topology_unb_pen,10,std,20,1.7104172122613828,0.06119924427637975,0.0,0.0016703293088490066,0.029602990201968334,0.0016703293088490066,0.0,0.0
zephyr,16,mdkp,10,unbalanced,10,mean,20,1.4848,0.046650000000000004,0.02223200605383204,0.00145,0.3415317146696313,0.00145,0.26888000000000006,0.96465
zephyr,16,mdkp,10,unbalanced,10,std,20,1.6661647457559534,0.027293359998358576,0.037034080786990685,0.0016271140095272983,0.04904051770250614,0.0016271140095272983,0.02042965002147613,0.01071109238126533
zephyr,16,mdkp,15,projected_topology_unb_pen,15,mean,20,18.022399999999998,0.26070000000000004,0.03163412157707866,0.0005499999999999999,0.3916323228083123,0.0005499999999999999,0.0,0.0
zephyr,16,mdkp,15,projected_topology_unb_pen,15,std,20,26.36755261756388,0.06490154081375882,0.030435697908412575,0.000804673846971554,0.027220606436123923,0.000804673846971554,0.0,0.0
zephyr,16,mdkp,15,unbalanced,15,mean,20,0.0,0.0543,0.11441527732394212,0.0,0.386710940202429,0.0,0.25701999999999997,0.9893999999999998
zephyr,16,mdkp,15,unbalanced,15,std,20,0.0,0.024390776945394748,0.06351999484949002,0.0,0.03598673579750748,0.0,0.01989560643849681,0.0047476309881876915
zephyr,16,mdkp,20,projected_topology_unb_pen,20,mean,20,0.0,0.3226,0.0809239166820162,0.0,0.412368317019982,0.0,0.0,0.0
zephyr,16,mdkp,20,projected_topology_unb_pen,20,std,20,0.0,0.09770486170094096,0.03797409320039135,0.0,0.020054036310733093,0.0,0.0,0.0
zephyr,16,mdkp,20,unbalanced,20,mean,20,0.0,0.09610000000000002,0.12454020133008878,0.0,0.41024448835430094,0.0,0.314885,0.9994999999999999
zephyr,16,mdkp,20,unbalanced,20,std,20,0.0,0.046541272006682406,0.03414073185984964,0.0,0.027583488439185386,0.0,0.020353888449139147,0.0008062257748298556
zephyr,16,mis,8,projected_topology_unb_pen,8,mean,20,12.774400000000004,0.3056,0.0,0.049900000000000014,0.2716592973606575,0.049900000000000014,0.0,0.0
zephyr,16,mis,8,projected_topology_unb_pen,8,std,20,4.214991606160089,0.07463538035007258,0.0,0.016464810961562847,0.028113295666751862,0.016464810961562847,0.0,0.0
zephyr,16,mis,8,unbalanced,8,mean,20,13.0816,0.3003,0.0,0.0511,0.264620148216444,0.0511,0.0,0.0
zephyr,16,mis,8,unbalanced,8,std,20,4.257534760868078,0.06823056499839351,0.0,0.016630995159640928,0.03061438512594084,0.016630995159640928,0.0,0.0
zephyr,16,mis,12,projected_topology_unb_pen,12,mean,20,30.310400000000005,0.17370000000000002,0.007142857142857143,0.007400000000000001,0.31869373338177326,0.007400000000000001,0.0,0.0
zephyr,16,mis,12,projected_topology_unb_pen,12,std,20,24.002699794814752,0.057356865325782935,0.031134992453861955,0.005860034129593445,0.03359056427685363,0.005860034129593445,0.0,0.0
zephyr,16,mis,12,unbalanced,12,mean,20,39.321600000000004,0.16729999999999998,0.0,0.009600000000000001,0.2947097440289053,0.009600000000000001,0.0,0.0
zephyr,16,mis,12,unbalanced,12,std,20,25.229498113121473,0.053272037693334016,0.0,0.006159545437773797,0.0330199513188321,0.006159545437773797,0.0,0.0
zephyr,16,mis,16,projected_topology_unb_pen,16,mean,20,239.20640000000003,0.14005,0.023253968253968253,0.0036500000000000005,0.3419917159743491,0.0036500000000000005,0.0,0.0
zephyr,16,mis,16,projected_topology_unb_pen,16,std,20,201.2232694870054,0.03064225024374026,0.04705559504398293,0.003070423423568808,0.04232151519829134,0.003070423423568808,0.0,0.0
zephyr,16,mis,16,unbalanced,16,mean,20,321.12640000000005,0.1257,0.010555555555555556,0.004900000000000001,0.30115079597784256,0.004900000000000001,0.000390625,0.00625
zephyr,16,mis,16,unbalanced,16,std,20,270.9261727641683,0.026797574517108822,0.031715362169315746,0.004134005321718877,0.028028026464986634,0.004134005321718877,0.0006026876652753066,0.009643002644404906
